No.,Mid(100),Topic-M,T1,Topic-1,T2,Topic-2,T3,Topic-3,T4,Topic-4,T5,Topic-5,Tut (80),PCT (180),Comp(45),Comp(75),Comp(120),CT(300)
117,12,"K&K 2,3,4,6",2,"K&K 2,3",8,K&K 4,3,K&K 6,2,"A.P F 3,4",1,A.P F 5,20,32,0,3,3,35
118,27,"K&K 2,3,4,6",11,"K&K 2,3",10,K&K 4,7,K&K 6,1,"A.P F 3,4",0,A.P F 5,39,66,6,5,11,77
119,58,"K&K 2,3,4,6",0,"K&K 2,3",11,K&K 4,15,K&K 6,8,"A.P F 3,4",13,A.P F 5,63,121,20,22,42,163
120,34,"K&K 2,3,4,6",0,"K&K 2,3",13,K&K 4,15,K&K 6,7,"A.P F 3,4",15,A.P F 5,67,101,21,0,21,122
121,42,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,11,"A.P F 3,4",15,A.P F 5,80,122,18,7,25,147
122,15,"K&K 2,3,4,6",0,"K&K 2,3",8,K&K 4,15,K&K 6,3,"A.P F 3,4",9,A.P F 5,47,62,10,10,20,82
123,39,"K&K 2,3,4,6",9,"K&K 2,3",0,K&K 4,1,K&K 6,15,"A.P F 3,4",9,A.P F 5,46,85,18,16,34,119
124,26,"K&K 2,3,4,6",5,"K&K 2,3",15,K&K 4,0,K&K 6,2,"A.P F 3,4",0,A.P F 5,30,56,13,4,17,73
125,0,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,3,K&K 6,0,"A.P F 3,4",3,A.P F 5,8,8,3,2,5,13
126,53,"K&K 2,3,4,6",1,"K&K 2,3",13,K&K 4,12,K&K 6,13,"A.P F 3,4",12,A.P F 5,67,120,11,7,18,138
127,36,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,2,K&K 6,4,"A.P F 3,4",10,A.P F 5,22,58,12,11,23,81
128,20,"K&K 2,3,4,6",1,"K&K 2,3",8,K&K 4,8,K&K 6,6,"A.P F 3,4",4,A.P F 5,35,55,5,2,7,62
129,5,"K&K 2,3,4,6",1,"K&K 2,3",0,K&K 4,4,K&K 6,3,"A.P F 3,4",12,A.P F 5,27,32,3,0,3,35
130,26,"K&K 2,3,4,6",1,"K&K 2,3",15,K&K 4,15,K&K 6,7,"A.P F 3,4",6,A.P F 5,58,84,17,14,31,115
131,11,"K&K 2,3,4,6",4,"K&K 2,3",0,K&K 4,4,K&K 6,6,"A.P F 3,4",5,A.P F 5,26,37,3,4,7,44
132,61,"K&K 2,3,4,6",10,"K&K 2,3",14,K&K 4,6,K&K 6,12,"A.P F 3,4",15,A.P F 5,68,129,23,7,30,159
133,8,"K&K 2,3,4,6",1,"K&K 2,3",0,K&K 4,2,K&K 6,1,"A.P F 3,4",3,A.P F 5,10,18,5,6,11,29
134,20,"K&K 2,3,4,6",9,"K&K 2,3",15,K&K 4,5,K&K 6,14,"A.P F 3,4",9,A.P F 5,63,83,3,4,7,90
135,12,"K&K 2,3,4,6",5,"K&K 2,3",10,K&K 4,4,K&K 6,4,"A.P F 3,4",11,A.P F 5,40,52,4,2,6,58
136,34,"K&K 2,3,4,6",0,"K&K 2,3",11,K&K 4,3,K&K 6,0,"A.P F 3,4",13,A.P F 5,36,70,3,12,15,85
137,47,"K&K 2,3,4,6",13,"K&K 2,3",15,K&K 4,15,K&K 6,10,"A.P F 3,4",15,A.P F 5,78,125,14,7,21,146
138,3,"K&K 2,3,4,6",11,"K&K 2,3",14,K&K 4,4,K&K 6,0,"A.P F 3,4",5,A.P F 5,46,49,0,0,0,49
139,50,"K&K 2,3,4,6",9,"K&K 2,3",15,K&K 4,2,K&K 6,15,"A.P F 3,4",15,A.P F 5,72,122,14,20,34,156
140,4,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,4,K&K 6,4,"A.P F 3,4",1,A.P F 5,12,16,3,2,5,21
141,45,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,5,K&K 6,5,"A.P F 3,4",1,A.P F 5,54,99,13,2,15,114
142,69,"K&K 2,3,4,6",5,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",12,A.P F 5,76,145,26,21,47,192
143,0,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,0,0,0,0,0
144,49,"K&K 2,3,4,6",0,"K&K 2,3",5,K&K 4,0,K&K 6,15,"A.P F 3,4",0,A.P F 5,27,76,11,5,16,92
145,52,"K&K 2,3,4,6",6,"K&K 2,3",2,K&K 4,14,K&K 6,1,"A.P F 3,4",1,A.P F 5,31,83,7,10,17,100
146,5,"K&K 2,3,4,6",2,"K&K 2,3",0,K&K 4,1,K&K 6,2,"A.P F 3,4",2,A.P F 5,10,15,2,0,2,17
147,43,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,9,K&K 6,0,"A.P F 3,4",0,A.P F 5,12,55,0,0,0,55
148,5,"K&K 2,3,4,6",15,"K&K 2,3",13,K&K 4,10,K&K 6,9,"A.P F 3,4",4,A.P F 5,63,68,2,2,4,72
149,29,"K&K 2,3,4,6",15,"K&K 2,3",12,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,109,11,5,16,125
150,2,"K&K 2,3,4,6",10,"K&K 2,3",5,K&K 4,4,K&K 6,1,"A.P F 3,4",12,A.P F 5,42,44,2,0,2,46
151,14,"K&K 2,3,4,6",11,"K&K 2,3",0,K&K 4,8,K&K 6,4,"A.P F 3,4",4,A.P F 5,36,50,21,10,31,81
152,27,"K&K 2,3,4,6",4,"K&K 2,3",0,K&K 4,4,K&K 6,6,"A.P F 3,4",0,A.P F 5,19,46,0,0,0,46
153,12,"K&K 2,3,4,6",12,"K&K 2,3",12,K&K 4,7,K&K 6,15,"A.P F 3,4",0,A.P F 5,62,74,6,0,6,80
154,69,"K&K 2,3,4,6",0,"K&K 2,3",5,K&K 4,0,K&K 6,2,"A.P F 3,4",15,A.P F 5,30,99,27,19,46,145
155,0,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",2,A.P F 5,3,3,5,0,5,8
156,18,"K&K 2,3,4,6",4,"K&K 2,3",12,K&K 4,3,K&K 6,4,"A.P F 3,4",0,A.P F 5,31,49,14,4,18,67
157,13,"K&K 2,3,4,6",0,"K&K 2,3",8,K&K 4,4,K&K 6,1,"A.P F 3,4",3,A.P F 5,21,34,8,2,10,44
158,9,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,6,K&K 6,0,"A.P F 3,4",0,A.P F 5,8,17,0,1,1,18
159,2,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,12,K&K 6,0,"A.P F 3,4",14,A.P F 5,55,57,0,0,0,57
160,17,"K&K 2,3,4,6",1,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,2,19,0,0,0,19
161,39,"K&K 2,3,4,6",8,"K&K 2,3",15,K&K 4,5,K&K 6,4,"A.P F 3,4",1,A.P F 5,43,82,20,13,33,115
162,58,"K&K 2,3,4,6",0,"K&K 2,3",7,K&K 4,8,K&K 6,14,"A.P F 3,4",7,A.P F 5,48,106,28,9,37,143
163,85,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,7,K&K 6,15,"A.P F 3,4",13,A.P F 5,78,163,20,22,42,205
164,29,"K&K 2,3,4,6",10,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",10,A.P F 5,74,103,9,6,15,118
165,13,"K&K 2,3,4,6",1,"K&K 2,3",0,K&K 4,0,K&K 6,2,"A.P F 3,4",0,A.P F 5,4,17,10,5,15,32
166,45,"K&K 2,3,4,6",10,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,125,21,7,28,153
167,33,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,6,K&K 6,15,"A.P F 3,4",13,A.P F 5,66,99,24,14,38,137
168,17,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,15,K&K 6,4,"A.P F 3,4",0,A.P F 5,46,63,5,6,11,74
169,0,"K&K 2,3,4,6",0,"K&K 2,3",11,K&K 4,15,K&K 6,4,"A.P F 3,4",11,A.P F 5,55,55,21,2,23,78
170,7,"K&K 2,3,4,6",0,"K&K 2,3",13,K&K 4,6,K&K 6,7,"A.P F 3,4",6,A.P F 5,43,50,1,0,1,51
171,5,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,3,K&K 6,4,"A.P F 3,4",7,A.P F 5,19,24,3,0,3,27
172,37,"K&K 2,3,4,6",4,"K&K 2,3",14,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,79,116,26,11,37,153
173,2,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,2,5,0,5,7
174,5,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,1,"A.P F 3,4",0,A.P F 5,2,7,0,0,0,7
